	SNP	Chromosome	Position	trait1
61	ENSG00000007968	chr1	23832921	0.0107870028879993
62	ENSG00000179915	chr2	50145642	0.0957531520057831
63	ENSG00000186350	chr9	137208943	0.0954737837057435
64	ENSG00000196914	chr11	120207786	0.0561930588281358
65	ENSG00000154229	chr17	64298753	0.0977470015392819
66	ENSG00000104695	chr8	30657096	0.256336832031025
67	ENSG00000176986	chr10	75504119	0.252141636016957
68	ENSG00000111229	chr12	110872629	0.0581193018605969
69	ENSG00000127955	chr7	79764103	0.160897865549236
70	ENSG00000171992	chr5	149980641	0.087800397913235
71	ENSG00000105647	chr19	18263927	0.929018167227234
72	ENSG00000107562	chr10	44793037	0.373758668999759
73	ENSG00000115415	chr2	191829083	0.322365151825013
74	ENSG00000007908	chr1	169691780	0.198467765896601
75	ENSG00000185507	chr11	612552	0.175945517062235
76	ENSG00000076928	chr19	42387227	0.701983295197394
77	ENSG00000132906	chr1	15817326	0.185613499631348
78	ENSG00000114019	chr3	134074715	0.220506843716386
79	ENSG00000184113	chr22	19510546	0.663730753916324
80	ENSG00000213928	chr14	24630261	0.271010104984763
81	ENSG00000164877	chr7	1468100	0.0689750559741377
82	ENSG00000133392	chr16	15797028	0.274834312327061
83	ENSG00000183230	chr10	67672275	0.540630824507372
84	ENSG00000132970	chr13	27131839	0.292924838609252
85	ENSG00000170345	chr14	75745476	0.44121772974163
86	ENSG00000170581	chr12	56735380	0.245762732248523
87	ENSG00000105695	chr19	35783027	0.617902390768721
88	ENSG00000107186	chr9	13105702	0.973246813904335
89	ENSG00000149294	chr11	112831996	0.0167136829186728
90	ENSG00000126456	chr19	50162825	0.383221438717051
91	ENSG00000104067	chr15	29991570	0.68821804307193
92	ENSG00000116473	chr1	112084839	0.579625036431386
93	ENSG00000163531	chr1	204797778	0.843433997495346
94	ENSG00000127191	chr9	139776363	0.514421408386892
95	ENSG00000169245	chr4	76942272	0.162588911998128
96	ENSG00000174775	chr11	532241	0.64619866051105
97	ENSG00000150672	chr11	83166054	0.508810705173102
98	ENSG00000198121	chr9	113635542	0.656651690756937
99	ENSG00000087088	chr19	49458071	0.919408232336284
100	ENSG00000064547	chr19	19734476	0.237126785803097
101	ENSG00000172260	chr1	71861622	0.956004427496068
102	ENSG00000159216	chr21	36259342	0.30121882814308
103	ENSG00000125755	chr19	46318667	0.428865038394799
104	ENSG00000015475	chr22	18216905	0.296456340571161
105	ENSG00000162706	chr1	159141398	0.71143189515161
106	ENSG00000164305	chr4	185548849	0.815729920277266
